IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,TOTAL_FLIGHTS,UNITED_FLIGHTS,DELTA_FLIGHTS,AMERICAN_FLIGHTS,OTHER_FLIGHTS,UNITED_IN_DELAY,DELTA_IN_DELAY,AMERICAN_IN_DELAY,OTHER_IN_DELAY,UNITED_OUT_DELAY,DELTA_OUT_DELAY,AMERICAN_OUT_DELAY,OTHER_OUT_DELAY
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,4550,0,622,0,3928,0.0,3.990228013029316,0.0,6.0893883951908,0.0,-2.363636363636364,0.0,7.632100052110474
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,4656,0,0,0,4656,0.0,0.0,0.0,4.081384892086331,0.0,0.0,0.0,3.2720753025549083
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,38380,687,2479,3731,31483,9.029239766081872,-0.7890056588520614,4.414607358594179,6.189416832765383,10.050147492625369,-1.6232821341956345,6.652747252747253,4.941309109650819
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,1342,0,0,0,1342,0.0,0.0,0.0,-3.389649923896499,0.0,0.0,0.0,9.90950226244344
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,1752,0,0,0,1752,0.0,0.0,0.0,8.681712962962964,0.0,0.0,0.0,7.587759815242494
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,984,0,0,0,984,0.0,0.0,0.0,4.9137577002053385,0.0,0.0,0.0,9.470103092783503
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,3223,0,0,0,3223,0.0,0.0,0.0,10.63724853990915,0.0,0.0,0.0,4.658647594278284
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,2639,0,0,0,2639,0.0,0.0,0.0,9.675611681136544,0.0,0.0,0.0,7.841482649842272
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,7143,0,0,0,7143,0.0,0.0,0.0,11.825495750708216,0.0,0.0,0.0,8.734902183158491
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,192,0,0,0,192,0.0,0.0,0.0,-3.191011235955056,0.0,0.0,0.0,11.034090909090908
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,920,0,0,0,920,0.0,0.0,0.0,-0.665903890160183,0.0,0.0,0.0,1.897025171624714
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,6292,0,0,0,6292,0.0,0.0,0.0,6.231751227495908,0.0,0.0,0.0,8.943352979698755
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,4724,2,1394,0,3328,19.0,6.001434720229555,0.0,6.515463917525773,1.0,3.181034482758621,0.0,10.683252427184469
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,126,0,0,0,126,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,4.349206349206349
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,14919,1302,2401,692,10524,14.724842767295597,1.4055183946488294,3.6588921282798834,6.963995354239256,4.687598116169545,-3.939698492462312,-5.116959064327485,-1.9817440279665957
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,1235,0,0,0,1235,0.0,0.0,0.0,5.9452991452991455,0.0,0.0,0.0,1.153184165232358
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,8429,0,0,0,8429,0.0,0.0,0.0,6.6676492262343405,0.0,0.0,0.0,6.416053019145803
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,32006,2031,4032,544,25399,14.651696606786428,4.627110228401191,5.831460674157303,0.2016592214422463,15.499001996007983,-1.2381899552461462,12.317164179104475,-1.7857541676637154
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,1146,0,0,0,1146,0.0,0.0,0.0,1.5992714025500911,0.0,0.0,0.0,1.771062271062271
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,7123,0,0,0,7123,0.0,0.0,0.0,15.829447852760737,0.0,0.0,0.0,15.492491572172847
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,693740,6817,443378,14997,228548,6.88781954887218,-0.8377498795487396,5.817639886194282,7.851669573884874,8.731722054380665,0.5932985480943739,2.0023075878919507,7.757509183573633
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,5697,0,894,0,4803,0.0,-1.0829596412556053,0.0,4.467846353042727,0.0,-3.54627539503386,0.0,7.414075993091537
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,84145,8565,6899,16087,52594,10.234794908062234,-1.1028255170404897,6.25823754789272,7.316692367000771,5.282942985568962,2.83853104051297,3.385529847884443,5.749913164293157
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,5492,0,1287,0,4205,0.0,5.207221350078493,0.0,6.895813047711782,0.0,2.1554160125588697,0.0,7.317779960707269
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,2718,0,250,0,2468,0.0,2.717741935483871,0.0,10.52872606161532,0.0,1.1788617886178865,0.0,7.050706566916043
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,3691,0,0,0,3691,0.0,0.0,0.0,1.2587492828456683,0.0,0.0,0.0,0.7314974182444062
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,37596,1144,8160,3641,24651,15.184587813620071,-1.615612648221344,5.943112102621305,9.067971678467304,6.243682310469314,-3.722951225550879,-0.8843575418994414,2.2590060040026683
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,1792,0,0,0,1792,0.0,0.0,0.0,2.7804323094425483,0.0,0.0,0.0,3.743181818181818
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,5273,0,0,0,5273,0.0,0.0,0.0,5.501739466563588,0.0,0.0,0.0,3.502126014688829
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,526,0,0,0,526,0.0,0.0,0.0,4.213178294573644,0.0,0.0,0.0,5.895752895752896
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,734,0,378,0,356,0.0,0.798941798941799,0.0,3.764367816091954,0.0,-2.121693121693122,0.0,6.913793103448276
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,25028,0,6103,453,18472,0.0,0.0279605263157894,8.190045248868778,7.425381384037143,0.0,-1.4124629080118694,13.69683257918552,6.269937970757643
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,5736,1304,1966,0,2466,6.513056835637481,-2.1262729124236253,0.0,2.410172272354389,-0.7642526964560863,-4.8807339449541285,0.0,-1.0565110565110565
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,6908,0,554,0,6354,0.0,-4.472924187725631,0.0,5.644593730006398,0.0,-8.205776173285198,0.0,6.167793880837359
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,1334,0,0,0,1334,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,1.0346385542168677
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,1422,0,0,0,1422,0.0,0.0,0.0,-6.803418803418803,0.0,0.0,0.0,-1.4105113636363635
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,5461,0,0,0,5461,0.0,0.0,0.0,7.235651843405549,0.0,0.0,0.0,5.9793893129771
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,95148,812,9323,8018,76995,7.079207920792079,1.1704790677600343,2.911014788373279,4.830387844862055,5.670822942643391,1.450302506482282,3.65482881962187,5.044057924548467
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,23311,1114,2097,718,19382,8.417721518987342,-1.0715648854961832,2.724233983286908,6.705193855157279,8.362976406533575,-1.971401334604385,3.3529411764705883,6.706282011079753
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,215698,22565,28515,35255,129363,7.417142339403823,4.566692975532755,3.580328630319921,7.150855142788958,5.491092528631158,6.901921277973663,-0.3331392640894271,4.7693251924947
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,1946,0,0,0,1946,0.0,0.0,0.0,14.63169398907104,0.0,0.0,0.0,16.154696132596683
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,1757,0,0,0,1757,0.0,0.0,0.0,5.870967741935484,0.0,0.0,0.0,4.844649021864211
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,2686,582,0,0,2104,19.16140350877193,0.0,0.0,10.288590604026846,23.8397212543554,0.0,0.0,-0.975095785440613
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,1179,0,0,0,1179,0.0,0.0,0.0,-3.615780445969125,0.0,0.0,0.0,-1.2646048109965635
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,4726,0,0,0,4726,0.0,0.0,0.0,4.471315092674316,0.0,0.0,0.0,2.3135518157661648
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,1710,0,0,0,1710,0.0,0.0,0.0,4.058608058608058,0.0,0.0,0.0,1.9197080291970805
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,1335,0,0,0,1335,0.0,0.0,0.0,-3.9625,0.0,0.0,0.0,-6.089644513137558
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,14334,4,630,0,13700,34.0,-9.746031746031743,0.0,9.93544038346315,45.5,1.6687898089171975,0.0,11.641817909104544
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,5954,205,180,0,5569,8.362745098039216,9.897727272727272,0.0,8.923416789396171,-3.386138613861386,-8.348314606741573,0.0,6.730141054194506
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,33653,1031,4770,1082,26770,12.98804780876494,0.4439311213775724,6.437616387337058,5.960751374465485,11.085487077534792,-3.395622895622896,-2.441340782122905,0.6637059724349158
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,37779,0,0,0,37779,0.0,0.0,0.0,4.592321361262183,0.0,0.0,0.0,3.1429805149241647
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,172164,6024,13011,8248,144881,7.907157326130992,-0.2290476925451458,6.845888724766125,3.58734756743772,4.146869712351946,2.0298530549110594,4.592702169625246,8.005984220851623
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,7209,1385,2161,0,3663,8.529498525073747,0.0825602968460111,0.0,2.107853982300885,6.487444608567208,1.4304267161410018,0.0,0.2186459489456159
